TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Taken,"$3,644,614",-68.7%,-,3183,"$1,145","$24,717,037",3,Twentieth Century Fox,False,False
2,2,Paul Blart: Mall Cop,"$2,528,360",-65.2%,-57.5%,3206,$788,"$83,247,655",17,Sony Pictures Releasing,False,False
3,4,Hotel for Dogs,"$2,187,264",-51.5%,-47.3%,3160,$692,"$48,156,061",17,DreamWorks,False,False
4,7,Underworld: Rise of the Lycans,"$1,497,519",-58%,-69.8%,2942,$509,"$33,165,746",10,Screen Gems,False,False
5,6,Slumdog Millionaire,"$1,377,117",-65%,-56.3%,1633,$843,"$67,193,169",82,Fox Searchlight Pictures,False,False
6,3,The Uninvited,"$1,284,429",-72.6%,-,2344,$547,"$10,325,824",3,DreamWorks,False,False
7,5,Gran Torino,"$1,202,337",-72.8%,-73.2%,3015,$398,"$110,178,990",52,Warner Bros.,False,False
8,8,New in Town,"$1,193,141",-61.7%,-,1941,$614,"$6,741,530",3,Lionsgate,False,False
9,10,Inkheart,"$868,746",-52.9%,-58.6%,2655,$327,"$12,813,023",10,Warner Bros.,False,False
10,9,My Bloody Valentine,"$803,910",-62.6%,-68.7%,1406,$571,"$44,827,233",17,Lionsgate,False,False
11,11,The Curious Case of Benjamin Button,"$641,256",-64.1%,-62.4%,2126,$301,"$116,473,266",39,Paramount Pictures,False,False
12,12,Bride Wars,"$631,500",-63.2%,-60.7%,1985,$318,"$53,891,483",24,Twentieth Century Fox,False,False
13,16,The Reader,"$541,735",-52.8%,+26.6%,1002,$540,"$12,655,858",54,The Weinstein Company,False,False
14,13,Revolutionary Road,"$539,927",-58.3%,-61.7%,1077,$501,"$16,054,024",38,Paramount Vantage,False,False
15,14,Defiance,"$445,571",-65.5%,-72.5%,1662,$268,"$22,800,595",33,Paramount Vantage,False,False
16,15,The Wrestler,"$387,253",-67.9%,-64.8%,722,$536,"$13,051,867",47,Fox Searchlight Pictures,False,False
17,18,Milk,"$327,901",-55.4%,+22.1%,882,$371,"$23,464,697",68,Focus Features,False,False
18,21,Last Chance Harvey,"$272,699",-53.3%,-64.2%,893,$305,"$11,694,498",39,Overture Films,False,False
19,17,Notorious,"$256,846",-70.1%,-83.1%,1080,$237,"$35,011,149",17,Fox Searchlight Pictures,False,False
20,19,Frost/Nixon,"$254,165",-65.2%,-70.2%,1105,$230,"$14,316,246",59,Universal Pictures,False,False
21,22,Marley & Me,"$211,373",-55.8%,-75.9%,1022,$206,"$139,793,037",39,Twentieth Century Fox,False,False
22,23,Doubt,"$194,901",-51.2%,-21.6%,602,$323,"$27,984,891",52,Miramax,False,False
23,20,The Unborn,"$176,580",-71%,-79.4%,1308,$135,"$41,318,365",24,Universal Pictures,False,False
24,24,Twilight,"$132,322",-55.5%,-52%,413,$320,"$187,010,870",73,Summit Entertainment,False,False
25,25,Bedtime Stories,"$128,873",-55.4%,-79.3%,639,$201,"$108,566,034",39,Walt Disney Studios Motion Pictures,False,False
26,26,The Dark Knight,"$70,167",-71.2%,-60.1%,211,$332,"$532,356,746",199,Warner Bros.,False,False
27,29,Madagascar: Escape 2 Africa,"$69,754",-59.3%,-51%,275,$253,"$179,282,122",87,DreamWorks,False,False
28,28,Valkyrie,"$67,053",-66.5%,-82.4%,509,$131,"$81,619,482",39,United Artists,False,False
29,30,The Tale of Despereaux,"$54,585",-52.7%,-45.7%,312,$174,"$49,899,955",45,Universal Pictures,False,False
30,27,Not Easily Broken,"$53,365",-75%,-75.7%,292,$182,"$10,302,104",24,Screen Gems,False,False
31,31,Luck by Chance,"$41,418",-61.2%,-,57,$726,"$217,439",3,Adlabs Films,False,False
32,33,Australia,"$35,000",-57%,-35%,297,$117,"$48,955,455",68,Twentieth Century Fox,False,False
33,32,Yes Man,"$34,633",-65.8%,-82%,277,$125,"$95,848,155",45,Warner Bros.,False,False
34,34,The Day the Earth Stood Still,"$25,584",-60.2%,-33.3%,201,$127,"$78,781,466",52,Twentieth Century Fox,False,False
35,35,Four Christmases,"$14,750",-65.2%,-73%,183,$80,"$120,073,790",68,Warner Bros.,False,False
36,36,Deep Sea,"$5,716",-42.6%,+187.8%,6,$952,"$37,402,863",1067,Warner Bros.,False,False
37,37,Vicky Cristina Barcelona,"$4,823",-47%,-80%,25,$192,"$23,164,041",171,-,False,False
38,38,Made in China,"$4,550",-46.6%,-86.6%,25,$182,"$912,585",17,Warner Bros.,False,False
39,39,The Secret Life of Bees,"$2,432",-48.6%,-52.4%,18,$135,"$37,723,101",108,Fox Searchlight Pictures,False,False
40,40,Outlander,"$2,097",-51.8%,-88.5%,33,$63,"$96,032",10,Third Rail Releasing,False,False
41,42,Were the World Mine,"$2,002",-26.1%,+23.7%,2,"$1,001","$103,110",94,-,False,False
42,41,The Haunting of Molly Hartley,"$1,437",-49%,-51.9%,10,$143,"$13,557,955",94,Freestyle Releasing,False,False
43,43,Between Love & Goodbye,$933,-51.6%,-,1,$933,"$6,674",3,Embrem Entertainment,False,False
44,44,Silent Light,$628,-57.3%,-70.6%,1,$628,"$52,293",26,Palisades Tartan,False,False
45,45,Soul Men,$431,-69.7%,-81.5%,11,$39,"$12,081,447",87,-,False,False
46,47,Lola Montès,$423,-29.1%,-18%,2,$211,"$104,839",115,Rialto Pictures,False,False
47,46,Killshot,$348,-56.9%,-88.8%,5,$69,"$17,007",10,The Weinstein Company,False,False
