TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Next Friday,"$490,050",-55.2%,-12.4%,1335,$367,"$40,011,619",20,New Line Cinema,False,False
2,5,The Green Mile,"$308,020",-50.6%,-18.5%,2371,$129,"$115,466,532",53,Warner Bros.,False,False
3,-,Stuart Little,"$284,700",-,-14.9%,3041,$93,"$123,295,392",46,Sony Pictures Releasing,False,False
4,3,Galaxy Quest,"$235,876",-65.5%,-18.2%,2209,$106,"$59,005,410",38,DreamWorks Distribution,False,False
5,6,Toy Story 2,"$179,122",-70.3%,-14.1%,1796,$99,"$234,480,631",74,Walt Disney Studios Motion Pictures,False,False
6,9,Magnolia,"$141,809",-52.3%,-28.6%,1086,$130,"$17,580,003",46,New Line Cinema,False,False
7,11,Any Given Sunday,"$131,590",-19.8%,-25.4%,2012,$65,"$72,475,176",41,Warner Bros.,False,False
8,8,Isn't She Great,"$116,250",-63.1%,-,750,$155,"$1,484,955",4,Universal Pictures,False,False
9,10,Snow Falling on Cedars,"$84,985",-55.2%,-29.7%,1000,$84,"$11,856,688",41,Universal Pictures,False,False
10,12,Man on the Moon,"$31,195",-50%,-18.9%,624,$49,"$33,827,285",41,Universal Pictures,False,False
